id;name;geoid;geoname;value;datetime
545;Demanda programada;;;21325;2022-01-01T00:00:00+01:00
545;Demanda programada;;;20264;2022-01-01T01:00:00+01:00
545;Demanda programada;;;19553;2022-01-01T02:00:00+01:00
545;Demanda programada;;;18061;2022-01-01T03:00:00+01:00
545;Demanda programada;;;17439;2022-01-01T04:00:00+01:00
545;Demanda programada;;;17225;2022-01-01T05:00:00+01:00
545;Demanda programada;;;17248;2022-01-01T06:00:00+01:00
545;Demanda programada;;;17518;2022-01-01T07:00:00+01:00
545;Demanda programada;;;17664;2022-01-01T08:00:00+01:00
545;Demanda programada;;;18274;2022-01-01T09:00:00+01:00
545;Demanda programada;;;20028;2022-01-01T10:00:00+01:00
545;Demanda programada;;;21078;2022-01-01T11:00:00+01:00
545;Demanda programada;;;21664;2022-01-01T12:00:00+01:00
545;Demanda programada;;;22093;2022-01-01T13:00:00+01:00
545;Demanda programada;;;22199;2022-01-01T14:00:00+01:00
545;Demanda programada;;;21060;2022-01-01T15:00:00+01:00
545;Demanda programada;;;20575;2022-01-01T16:00:00+01:00
545;Demanda programada;;;21156;2022-01-01T17:00:00+01:00
545;Demanda programada;;;23139;2022-01-01T18:00:00+01:00
545;Demanda programada;;;24363;2022-01-01T19:00:00+01:00
545;Demanda programada;;;24879;2022-01-01T20:00:00+01:00
545;Demanda programada;;;25152;2022-01-01T21:00:00+01:00
545;Demanda programada;;;23982;2022-01-01T22:00:00+01:00
545;Demanda programada;;;22352;2022-01-01T23:00:00+01:00
545;Demanda programada;;;20892;2022-01-02T00:00:00+01:00
545;Demanda programada;;;19290;2022-01-02T01:00:00+01:00
545;Demanda programada;;;18225;2022-01-02T02:00:00+01:00
545;Demanda programada;;;17580;2022-01-02T03:00:00+01:00
545;Demanda programada;;;17421;2022-01-02T04:00:00+01:00
545;Demanda programada;;;17659;2022-01-02T05:00:00+01:00
545;Demanda programada;;;18148;2022-01-02T06:00:00+01:00
545;Demanda programada;;;19083;2022-01-02T07:00:00+01:00
545;Demanda programada;;;19773;2022-01-02T08:00:00+01:00
545;Demanda programada;;;21596;2022-01-02T09:00:00+01:00
545;Demanda programada;;;23519;2022-01-02T10:00:00+01:00
545;Demanda programada;;;24105;2022-01-02T11:00:00+01:00
545;Demanda programada;;;24359;2022-01-02T12:00:00+01:00
545;Demanda programada;;;24742;2022-01-02T13:00:00+01:00
545;Demanda programada;;;24850;2022-01-02T14:00:00+01:00
545;Demanda programada;;;23774;2022-01-02T15:00:00+01:00
545;Demanda programada;;;23230;2022-01-02T16:00:00+01:00
545;Demanda programada;;;23773;2022-01-02T17:00:00+01:00
545;Demanda programada;;;25916;2022-01-02T18:00:00+01:00
545;Demanda programada;;;27266;2022-01-02T19:00:00+01:00
545;Demanda programada;;;28271;2022-01-02T20:00:00+01:00
545;Demanda programada;;;28105;2022-01-02T21:00:00+01:00
545;Demanda programada;;;26824;2022-01-02T22:00:00+01:00
545;Demanda programada;;;24219;2022-01-02T23:00:00+01:00
545;Demanda programada;;;22906;2022-01-03T00:00:00+01:00
545;Demanda programada;;;21116;2022-01-03T01:00:00+01:00
545;Demanda programada;;;20203;2022-01-03T02:00:00+01:00
545;Demanda programada;;;19655;2022-01-03T03:00:00+01:00
545;Demanda programada;;;19553;2022-01-03T04:00:00+01:00
545;Demanda programada;;;20401;2022-01-03T05:00:00+01:00
545;Demanda programada;;;22533;2022-01-03T06:00:00+01:00
545;Demanda programada;;;26251;2022-01-03T07:00:00+01:00
545;Demanda programada;;;28865;2022-01-03T08:00:00+01:00
545;Demanda programada;;;29714;2022-01-03T09:00:00+01:00
545;Demanda programada;;;31072;2022-01-03T10:00:00+01:00
545;Demanda programada;;;31010;2022-01-03T11:00:00+01:00
545;Demanda programada;;;30562;2022-01-03T12:00:00+01:00
545;Demanda programada;;;30386;2022-01-03T13:00:00+01:00
545;Demanda programada;;;30009;2022-01-03T14:00:00+01:00
545;Demanda programada;;;28964;2022-01-03T15:00:00+01:00
545;Demanda programada;;;28577;2022-01-03T16:00:00+01:00
545;Demanda programada;;;29076;2022-01-03T17:00:00+01:00
545;Demanda programada;;;30828;2022-01-03T18:00:00+01:00
545;Demanda programada;;;31959;2022-01-03T19:00:00+01:00
545;Demanda programada;;;32469;2022-01-03T20:00:00+01:00
545;Demanda programada;;;31888;2022-01-03T21:00:00+01:00
545;Demanda programada;;;29251;2022-01-03T22:00:00+01:00
545;Demanda programada;;;26516;2022-01-03T23:00:00+01:00
545;Demanda programada;;;24762;2022-01-04T00:00:00+01:00
545;Demanda programada;;;22998;2022-01-04T01:00:00+01:00
545;Demanda programada;;;21844;2022-01-04T02:00:00+01:00
545;Demanda programada;;;21318;2022-01-04T03:00:00+01:00
545;Demanda programada;;;21243;2022-01-04T04:00:00+01:00
545;Demanda programada;;;21774;2022-01-04T05:00:00+01:00
545;Demanda programada;;;23833;2022-01-04T06:00:00+01:00
545;Demanda programada;;;27246;2022-01-04T07:00:00+01:00
545;Demanda programada;;;28954;2022-01-04T08:00:00+01:00
545;Demanda programada;;;30611;2022-01-04T09:00:00+01:00
545;Demanda programada;;;31368;2022-01-04T10:00:00+01:00
545;Demanda programada;;;31306;2022-01-04T11:00:00+01:00
545;Demanda programada;;;31314;2022-01-04T12:00:00+01:00
545;Demanda programada;;;31346;2022-01-04T13:00:00+01:00
545;Demanda programada;;;31006;2022-01-04T14:00:00+01:00
545;Demanda programada;;;30440;2022-01-04T15:00:00+01:00
545;Demanda programada;;;30051;2022-01-04T16:00:00+01:00
545;Demanda programada;;;30407;2022-01-04T17:00:00+01:00
545;Demanda programada;;;31831;2022-01-04T18:00:00+01:00
545;Demanda programada;;;32445;2022-01-04T19:00:00+01:00
545;Demanda programada;;;32459;2022-01-04T20:00:00+01:00
545;Demanda programada;;;32228;2022-01-04T21:00:00+01:00
545;Demanda programada;;;29794;2022-01-04T22:00:00+01:00
545;Demanda programada;;;26792;2022-01-04T23:00:00+01:00
545;Demanda programada;;;25639;2022-01-05T00:00:00+01:00
545;Demanda programada;;;23716;2022-01-05T01:00:00+01:00
545;Demanda programada;;;22509;2022-01-05T02:00:00+01:00
545;Demanda programada;;;21871;2022-01-05T03:00:00+01:00
545;Demanda programada;;;21899;2022-01-05T04:00:00+01:00
545;Demanda programada;;;22274;2022-01-05T05:00:00+01:00
545;Demanda programada;;;24222;2022-01-05T06:00:00+01:00
545;Demanda programada;;;26543;2022-01-05T07:00:00+01:00
545;Demanda programada;;;29385;2022-01-05T08:00:00+01:00
545;Demanda programada;;;30778;2022-01-05T09:00:00+01:00
545;Demanda programada;;;31886;2022-01-05T10:00:00+01:00
545;Demanda programada;;;31789;2022-01-05T11:00:00+01:00
545;Demanda programada;;;31700;2022-01-05T12:00:00+01:00
545;Demanda programada;;;31805;2022-01-05T13:00:00+01:00
545;Demanda programada;;;30910;2022-01-05T14:00:00+01:00
545;Demanda programada;;;29999;2022-01-05T15:00:00+01:00
545;Demanda programada;;;29855;2022-01-05T16:00:00+01:00
545;Demanda programada;;;29833;2022-01-05T17:00:00+01:00
545;Demanda programada;;;30938;2022-01-05T18:00:00+01:00
545;Demanda programada;;;31004;2022-01-05T19:00:00+01:00
545;Demanda programada;;;30947;2022-01-05T20:00:00+01:00
545;Demanda programada;;;30140;2022-01-05T21:00:00+01:00
545;Demanda programada;;;28417;2022-01-05T22:00:00+01:00
545;Demanda programada;;;26303;2022-01-05T23:00:00+01:00
545;Demanda programada;;;24666;2022-01-06T00:00:00+01:00
545;Demanda programada;;;22918;2022-01-06T01:00:00+01:00
545;Demanda programada;;;20996;2022-01-06T02:00:00+01:00
545;Demanda programada;;;20236;2022-01-06T03:00:00+01:00
545;Demanda programada;;;20097;2022-01-06T04:00:00+01:00
545;Demanda programada;;;20075;2022-01-06T05:00:00+01:00
545;Demanda programada;;;20755;2022-01-06T06:00:00+01:00
545;Demanda programada;;;21372;2022-01-06T07:00:00+01:00
545;Demanda programada;;;21753;2022-01-06T08:00:00+01:00
545;Demanda programada;;;23293;2022-01-06T09:00:00+01:00
545;Demanda programada;;;24928;2022-01-06T10:00:00+01:00
545;Demanda programada;;;25103;2022-01-06T11:00:00+01:00
545;Demanda programada;;;24971;2022-01-06T12:00:00+01:00
545;Demanda programada;;;25200;2022-01-06T13:00:00+01:00
545;Demanda programada;;;25434;2022-01-06T14:00:00+01:00
545;Demanda programada;;;24384;2022-01-06T15:00:00+01:00
545;Demanda programada;;;23609;2022-01-06T16:00:00+01:00
545;Demanda programada;;;24358;2022-01-06T17:00:00+01:00
545;Demanda programada;;;26641;2022-01-06T18:00:00+01:00
545;Demanda programada;;;28048;2022-01-06T19:00:00+01:00
545;Demanda programada;;;29053;2022-01-06T20:00:00+01:00
545;Demanda programada;;;29522;2022-01-06T21:00:00+01:00
545;Demanda programada;;;28373;2022-01-06T22:00:00+01:00
545;Demanda programada;;;26111;2022-01-06T23:00:00+01:00
545;Demanda programada;;;23672;2022-01-07T00:00:00+01:00
545;Demanda programada;;;22508;2022-01-07T01:00:00+01:00
545;Demanda programada;;;21064;2022-01-07T02:00:00+01:00
545;Demanda programada;;;20518;2022-01-07T03:00:00+01:00
545;Demanda programada;;;20583;2022-01-07T04:00:00+01:00
545;Demanda programada;;;21199;2022-01-07T05:00:00+01:00
545;Demanda programada;;;23273;2022-01-07T06:00:00+01:00
545;Demanda programada;;;25850;2022-01-07T07:00:00+01:00
545;Demanda programada;;;27992;2022-01-07T08:00:00+01:00
545;Demanda programada;;;29636;2022-01-07T09:00:00+01:00
545;Demanda programada;;;30653;2022-01-07T10:00:00+01:00
545;Demanda programada;;;30538;2022-01-07T11:00:00+01:00
545;Demanda programada;;;30197;2022-01-07T12:00:00+01:00
545;Demanda programada;;;30346;2022-01-07T13:00:00+01:00
545;Demanda programada;;;30342;2022-01-07T14:00:00+01:00
545;Demanda programada;;;29417;2022-01-07T15:00:00+01:00
545;Demanda programada;;;29131;2022-01-07T16:00:00+01:00
545;Demanda programada;;;29357;2022-01-07T17:00:00+01:00
545;Demanda programada;;;31106;2022-01-07T18:00:00+01:00
545;Demanda programada;;;32312;2022-01-07T19:00:00+01:00
545;Demanda programada;;;32825;2022-01-07T20:00:00+01:00
545;Demanda programada;;;32583;2022-01-07T21:00:00+01:00
545;Demanda programada;;;30061;2022-01-07T22:00:00+01:00
545;Demanda programada;;;27630;2022-01-07T23:00:00+01:00
545;Demanda programada;;;25486;2022-01-08T00:00:00+01:00
545;Demanda programada;;;23996;2022-01-08T01:00:00+01:00
545;Demanda programada;;;22531;2022-01-08T02:00:00+01:00
545;Demanda programada;;;21858;2022-01-08T03:00:00+01:00
545;Demanda programada;;;21533;2022-01-08T04:00:00+01:00
545;Demanda programada;;;21465;2022-01-08T05:00:00+01:00
545;Demanda programada;;;22622;2022-01-08T06:00:00+01:00
545;Demanda programada;;;23611;2022-01-08T07:00:00+01:00
